seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	762042	762071	30	*	X00001	643837	762971	794826	31856	+	899	upstream	899	LINC01128
chr1	936696	936811	116	*	X00013	57801	934342	935552	1211	-	1143	upstream	1143	HES4
chr1	948638	948742	105	*	X00016	9636	948847	949919	1073	+	104	upstream	104	ISG15
chr1	1071819	1071923	105	*	X00041	254099	1072397	1079434	7038	+	473	upstream	473	LINC01342
chr1	1071984	1071993	10	*	X00042	254099	1072397	1079434	7038	+	403	upstream	403	LINC01342
chr1	1101419	1101494	76	*	X00047	406984	1102484	1102578	95	+	989	upstream	989	MIR200B
chr1	1101419	1101494	76	*	X00047	406983	1103243	1103332	90	+	1748	upstream	1748	MIR200A
chr1	1101540	1101615	76	*	X00048	406984	1102484	1102578	95	+	868	upstream	868	MIR200B
chr1	1101540	1101615	76	*	X00048	406983	1103243	1103332	90	+	1627	upstream	1627	MIR200A
chr1	1242550	1242654	105	*	X00059	126789	1243994	1247057	3064	+	1339	upstream	1339	PUSL1
chr1	1259231	1259270	40	*	X00065	80772	1260143	1264276	4134	+	872	upstream	872	CPTP
chr1	1335755	1335874	120	*	X00075	81669	1321091	1334718	13628	-	1036	upstream	1036	CCNL2
chr1	1357548	1357683	136	*	X00080	441869	1353800	1356824	3025	-	723	upstream	723	ANKRD65
chr1	1361070	1361095	26	*	X00081	643965	1361508	1363167	1660	+	412	upstream	412	TMEM88B
chr1	1361310	1361639	330	*	X00082	643965	1361508	1363167	1660	+	0	overlapStart	0	TMEM88B
chr1	1369462	1369596	135	*	X00090	64856	1370903	1378262	7360	+	1306	upstream	1306	VWA1
chr1	1370108	1370226	119	*	X00091	64856	1370903	1378262	7360	+	676	upstream	676	VWA1
chr1	1405212	1405376	165	*	X00093	83858	1407164	1444689	37526	+	1787	upstream	1787	ATAD3B
chr1	1405983	1406102	120	*	X00094	83858	1407164	1444689	37526	+	1061	upstream	1061	ATAD3B
chr1	1406307	1406308	2	*	X00095	83858	1407164	1444689	37526	+	855	upstream	855	ATAD3B
chr1	1712999	1713133	135	*	X00102	65220	1682671	1711508	28838	-	1490	upstream	1490	NADK
chr1	1949024	1949158	135	*	X00116	2563	1950768	1962192	11425	+	1609	upstream	1609	GABRD
chr1	1950179	1950283	105	*	X00117	2563	1950768	1962192	11425	+	484	upstream	484	GABRD
chr1	2140583	2140710	128	*	X00135	199990	2115899	2139172	23274	-	1410	upstream	1410	FAAP20
chr1	2487463	2487482	20	*	X00178	8764	2487805	2495267	7463	+	322	upstream	322	TNFRSF14
chr1	2564533	2564637	105	*	X00181	79258	2522081	2564481	42401	-	51	upstream	51	MMEL1
chr1	2564848	2564952	105	*	X00182	79258	2522081	2564481	42401	-	366	upstream	366	MMEL1
chr1	2985642	2985653	12	*	X00188	63976	2985742	3355185	369444	+	88	upstream	88	PRDM16
chr1	2985642	2985653	12	*	X00188	440556	2976181	2984289	8109	-	1352	upstream	1352	PRDM16-DT
chr1	3713211	3713330	120	*	X00241	57470	3696784	3713068	16285	-	142	upstream	142	LRRC47
chr1	3775692	3775796	105	*	X00242	9731	3728645	3773797	45153	-	1894	upstream	1894	CEP104
chr1	6051104	6051223	120	*	X00308	8514	6052358	6161253	108896	+	1134	upstream	1134	KCNAB2
chr1	6053733	6053798	66	*	X00309	261734	5922870	6052533	129664	-	1199	upstream	1199	NPHP4
chr1	6054159	6054263	105	*	X00310	261734	5922870	6052533	129664	-	1625	upstream	1625	NPHP4
chr1	6241689	6241793	105	*	X00321	26038	6161847	6240194	78348	-	1494	upstream	1494	CHD5
chr1	6265074	6265084	11	*	X00322	388591	6266189	6281359	15171	+	1104	upstream	1104	RNF207
chr1	6297975	6298034	60	*	X00332	23463	6281253	6296044	14792	-	1930	upstream	1930	ICMT
chr1	6303929	6304193	265	*	X00335	390992	6304252	6305638	1387	+	58	upstream	58	HES3
chr1	6483818	6483982	165	*	X00358	83715	6484848	6521004	36157	+	865	upstream	865	ESPN
chr1	6484067	6484186	120	*	X00359	83715	6484848	6521004	36157	+	661	upstream	661	ESPN
chr1	6490088	6490267	180	*	X00360	100422975	6489894	6489956	63	-	131	upstream	131	MIR4252
chr1	6526362	6526481	120	*	X00375	8718	6521214	6526255	5042	-	106	upstream	106	TNFRSF25
chr1	7830942	7831040	99	*	X00451	9341	7831329	7841492	10164	+	288	upstream	288	VAMP3
chr1	8087308	8087412	105	*	X00458	54206	8071779	8086393	14615	-	914	upstream	914	ERRFI1
chr1	10534932	10534945	14	*	X00576	5195	10535003	10690815	155813	+	57	upstream	57	PEX14
chr1	10857291	10857410	120	*	X00630	54897	10696666	10856733	160068	-	557	upstream	557	CASZ1
chr1	11072269	11072279	11	*	X00677	23435	11072679	11085549	12871	+	399	upstream	399	TARDBP
chr1	11120850	11120969	120	*	X00682	6723	11114649	11120091	5443	-	758	upstream	758	SRM
chr1	11713163	11713372	210	*	X00720	93611	11714432	11723384	8953	+	1059	upstream	1059	FBXO44
chr1	11713578	11713682	105	*	X00721	93611	11714432	11723384	8953	+	749	upstream	749	FBXO44
chr1	11752987	11753136	150	*	X00728	10459	11734537	11751678	17142	-	1308	upstream	1308	MAD2L2
chr1	11864961	11865080	120	*	X00744	1185	11866153	11903201	37049	+	1072	upstream	1072	CLCN6
chr1	11994986	11995039	54	*	X00748	5351	11994724	12035599	40876	+	0	inside	261	PLOD1
chr1	12565796	12565822	27	*	X00790	677882	12567300	12567451	152	+	1477	upstream	1477	SNORA59B
chr1	12679687	12679806	120	*	X00804	9249	12627939	12677820	49882	-	1866	upstream	1866	DHRS3
chr1	12775443	12775466	24	*	X00811	126767	12776118	12788726	12609	+	651	upstream	651	AADACL3
chr1	12775578	12775622	45	*	X00812	126767	12776118	12788726	12609	+	495	upstream	495	AADACL3
chr1	13908362	13908526	165	*	X00821	10630	13910252	13944452	34201	+	1725	upstream	1725	PDPN
chr1	14924670	14924708	39	*	X00839	23254	14925213	15444544	519332	+	504	upstream	504	KAZN
chr1	15478601	15478705	105	*	X00873	55092	15479028	15546974	67947	+	322	upstream	322	TMEM51
chr1	15478601	15478705	105	*	X00873	200197	15438311	15478960	40650	-	0	inside	254	TMEM51-AS1
chr1	15573192	15573311	120	*	X00886	114827	15573768	15726778	153011	+	456	upstream	456	FHAD1
chr1	15851810	15851944	135	*	X00907	842	15817324	15851285	33962	-	524	upstream	524	CASP9
chr1	15851810	15851944	135	*	X00907	23341	15853352	15918874	65523	+	1407	upstream	1407	DNAJC16
chr1	15851960	15852064	105	*	X00908	842	15817324	15851285	33962	-	674	upstream	674	CASP9
chr1	15851960	15852064	105	*	X00908	23341	15853352	15918874	65523	+	1287	upstream	1287	DNAJC16
chr1	15943360	15943447	88	*	X00909	84301	15943953	15987552	43600	+	505	upstream	505	DDI2
chr1	16009255	16009374	120	*	X00911	23207	16010827	16061264	50438	+	1452	upstream	1452	PLEKHM2
chr1	16068806	16068888	83	*	X00912	388595	16068987	16074292	5306	+	98	upstream	98	TMEM82
chr1	16082486	16082665	180	*	X00913	54751	16083154	16113084	29931	+	488	upstream	488	FBLIM1
chr1	16343442	16343621	180	*	X00930	1187	16345370	16360545	15176	+	1748	upstream	1748	CLCNKA
